INSERT INTO dateC VALUES (0, TO_DATE('1-1-2020','DD-MM-YYYY'), 'Lundi', 'Janvier', '2020', 1, 1);
INSERT INTO dateC VALUES (1, TO_DATE('2-1-2020','DD-MM-YYYY'), 'Mardi', 'Janvier', '2020', 1, 1);
INSERT INTO dateC VALUES (2, TO_DATE('3-1-2020','DD-MM-YYYY'), 'Mercredi', 'Janvier', '2020', 0, 1);
INSERT INTO dateC VALUES (3, TO_DATE('4-1-2020','DD-MM-YYYY'), 'Jeudi', 'Janvier', '2020', 0, 1);
INSERT INTO dateC VALUES (4, TO_DATE('5-1-2020','DD-MM-YYYY'), 'Vendredi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (5, TO_DATE('6-1-2020','DD-MM-YYYY'), 'Samedi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (6, TO_DATE('7-1-2020','DD-MM-YYYY'), 'Dimanche', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (7, TO_DATE('8-1-2020','DD-MM-YYYY'), 'Lundi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (8, TO_DATE('9-1-2020','DD-MM-YYYY'), 'Mardi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (9, TO_DATE('10-1-2020','DD-MM-YYYY'), 'Mercredi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (10, TO_DATE('11-1-2020','DD-MM-YYYY'), 'Jeudi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (11, TO_DATE('12-1-2020','DD-MM-YYYY'), 'Vendredi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (12, TO_DATE('13-1-2020','DD-MM-YYYY'), 'Samedi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (13, TO_DATE('14-1-2020','DD-MM-YYYY'), 'Dimanche', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (14, TO_DATE('15-1-2020','DD-MM-YYYY'), 'Lundi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (15, TO_DATE('16-1-2020','DD-MM-YYYY'), 'Mardi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (16, TO_DATE('17-1-2020','DD-MM-YYYY'), 'Mercredi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (17, TO_DATE('18-1-2020','DD-MM-YYYY'), 'Jeudi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (18, TO_DATE('19-1-2020','DD-MM-YYYY'), 'Vendredi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (19, TO_DATE('20-1-2020','DD-MM-YYYY'), 'Samedi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (20, TO_DATE('21-1-2020','DD-MM-YYYY'), 'Dimanche', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (21, TO_DATE('22-1-2020','DD-MM-YYYY'), 'Lundi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (22, TO_DATE('23-1-2020','DD-MM-YYYY'), 'Mardi', 'Janvier', '2020', 0, 0);
